source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,match_status,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json,missing_identity_evidence,previous_vnext_included,previous_vnext_exclusion_reason
274,afl-player-v1-18c64bc1a192b51aba1a,ryda-luke,Ryda Luke,Free agents,G-FWD,matched,Ryda Luke,Fremantle,G-FWD,"{""birth_date"":""2007-09-19"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2025,""legacy_key"":""ryda-luke""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
140,afl-player-v1-fb132efc63e911fae6c0,sam-wicks,Sam Wicks,Collingwood Magpies,G-DEF,matched,Sam Wicks,Sydney,G-DEF,"{""birth_date"":""1999-09-14"",""birth_year"":1999,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2018,""legacy_key"":""sam-wicks""}",draft_pick,True,
676,afl-player-v1-0b6733fa38a15da624bc,sandy-brock,Sandy Brock,Sydney Swans,"G-DEF,K-DEF",matched,Sandy Brock,Gold Coast,K-DEF,"{""birth_date"":""2002-12-14"",""birth_year"":2002,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2021,""legacy_key"":""sandy-brock""}",draft_pick,True,
226,afl-player-v1-328187a2e40f373c2a1e,shadeau-brain,Shadeau Brain,Essendon Bombers,G-DEF,matched,Shadeau Brain,Brisbane,G-DEF,"{""birth_date"":""2004-02-13"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2022,""legacy_key"":""shadeau-brain""}",draft_pick,True,
102,afl-player-v1-441ecf4754260c89227e,thomas-burton,Thomas Burton,Carlton Blues,MID,matched,Thomas Burton,Richmond,G-FWD,"{""birth_date"":""2007-01-09"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""thomas-burton""}",draft_pick,True,
622,afl-player-v1-91f9428225d3cfc1cd51,toby-whan,Toby Whan,Richmond Tigers,MID,matched,Toby Whan,Fremantle,G-FWD,"{""birth_date"":""2007-05-09"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2025,""legacy_key"":""toby-whan""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
599,afl-player-v1-4af5ff1d6c0a57d3f39a,tom-blamires,Tom Blamires,Richmond Tigers,"G-DEF,MID",matched,Tom Blamires,North Melbourne,G-DEF,"{""birth_date"":""2002-08-13"",""birth_year"":2002,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""tom-blamires""}",draft_pick,True,
251,afl-player-v1-c04d11ebfbfcc241e844,tom-edwards,Tom Edwards,Free agents,"K-FWD,G-FWD",matched,Tom Edwards,Essendon,K-FWD,"{""birth_date"":""2000-05-20"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2024,""legacy_key"":""tom-edwards""}",draft_pick,True,
483,afl-player-v1-c239986e76a611a9b0a9,tyrell-dewar,Tyrell Dewar,Melbourne Demons,"G-DEF,MID",matched,Tyrell Dewar,West Coast,G-DEF,"{""birth_date"":""2004-03-27"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2022,""legacy_key"":""tyrell-dewar""}",draft_pick,True,
765,afl-player-v1-bbc4fa1d66b431694808,wil-parker,Wil Parker,Western Bulldogs,G-DEF,matched,Wil Parker,,G-DEF,"{""birth_date"":""2002-05-29"",""birth_year"":2002,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2023,""legacy_key"":""wil-parker""}",draft_pick,True,
211,afl-player-v1-c422d50e8bcb629acb87,will-edwards,Will Edwards,Essendon Bombers,"G-DEF,K-DEF",matched,Will Edwards,Sydney,K-DEF,"{""birth_date"":""2003-05-08"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2022,""legacy_key"":""will-edwards""}",draft_pick,True,
678,afl-player-v1-01667c9cd5c02dca5a97,will-lewis,Will Lewis,Sydney Swans,"G-FWD,K-FWD",matched,Will Lewis,Western Bulldogs,K-FWD,"{""birth_date"":""1999-05-05"",""birth_year"":1999,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""will-lewis""}",draft_pick,True,
662,afl-player-v1-c429049c86bb22e10b9a,zachary-williams,Zachary Williams,St Kilda Saints,"G-FWD,G-DEF",matched,Zachary Williams,GWS,G-DEF,"{""birth_date"":""1994-09-20"",""birth_year"":1994,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2012,""legacy_key"":""zachary-williams""}",draft_pick,True,
252,afl-player-v1-7eaa6baad537022a4c42,zak-evans,Zak Evans,Free agents,MID,matched,Zak Evans,Gold Coast,MID,"{""birth_date"":""2000-03-26"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2024,""legacy_key"":""zak-evans""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
