Player Name,AFFL Team,Position/s
Lewis Young,Carlton Blues,"G-DEF,K-FWD,K-DEF"
Josh Smillie,Carlton Blues,MID
Patrick Retschko,Carlton Blues,MID
Kane McAuliffe,Carlton Blues,MID
Dylan Patterson,Melbourne Demons,G-DEF
Will Ashcroft,Carlton Blues,MID
Justin McInerney,Carlton Blues,"MID,G-FWD"
Iliro Smit,Carlton Blues,RUC
Patrick Lipinski,Collingwood Magpies,"MID,G-FWD"
Jy Simpkin,Collingwood Magpies,"MID,G-FWD"
Sam Wicks,Collingwood Magpies,G-DEF
Bailey Williams,Collingwood Magpies,"G-DEF,MID"
Koltyn Tholstrup,Collingwood Magpies,"G-FWD,G-DEF"
Samuel Grlj,Collingwood Magpies,"G-DEF,MID"
Sean Darcy,Collingwood Magpies,RUCK
Mabior Chol,Collingwood Magpies,"G-FWD,K-FWD"
Nick Blakey,Collingwood Magpies,G-DEF
Riley Bice,Collingwood Magpies,G-DEF
Cody Weightman,Collingwood Magpies,G-FWD
Jack Ross,Collingwood Magpies,"MID,G-FWD"
Jack Silvagni,Collingwood Magpies,"G-DEF,K-DEF"
Kai Lohmann,Collingwood Magpies,G-FWD
Anthony Caminiti,Collingwood Magpies,"G-DEF,K-DEF,K-FWD,G-FWD"
Matt Rowell,Collingwood Magpies,MID
Mason Redman,Collingwood Magpies,G-DEF
Callum Mills,Collingwood Magpies,G-DEF
Darcy Parish,Collingwood Magpies,MID
Jarman Impey,Collingwood Magpies,G-DEF
Lachlan Bramble,Collingwood Magpies,"G-DEF,G-FWD"
Bodie Ryan,Collingwood Magpies,G-DEF
Hamish Davis,Collingwood Magpies,MID
Harris Andrews,Collingwood Magpies,"G-DEF,K-DEF"
Jeremy Sharp,Collingwood Magpies,MID
Will Hayes,Collingwood Magpies,G-FWD
Jake Lever,Collingwood Magpies,G-DEF
Daniel Rioli,Collingwood Magpies,G-DEF
Calsher Dear,Collingwood Magpies,"G-FWD,K-FWD"
Darcy Fort,Collingwood Magpies,RUCK
Wil Dawson,Collingwood Magpies,"G-DEF,K-DEF"
Clay Hall,Collingwood Magpies,MID
Finn O'Sullivan,Collingwood Magpies,"G-DEF,MID"
Jesse Dattoli,Collingwood Magpies,G-FWD
Latrelle Pickett,Collingwood Magpies,G-FWD
Jacob Konstanty,Collingwood Magpies,G-FWD
Hugo Hall-Kahan,Collingwood Magpies,"G-DEF,MID"
Mitchell Hinge,Collingwood Magpies,G-DEF
Judson Clarke,Collingwood Magpies,G-FWD
Joel Amartey,Collingwood Magpies,"G-FWD,K-FWD"
James Peatling,Collingwood Magpies,MID
Jesse Motlop,Adelaide Crows,G-FWD
Jye Amiss,Collingwood Magpies,"G-FWD,K-FWD"
Lachlan Smith,Collingwood Magpies,RUCK
Nick Watson,Collingwood Magpies,G-FWD
Nate Caddy,Essendon Bombers,"G-FWD,K-FWD"
Nathan O'Driscoll,Essendon Bombers,MID
Josh Battle,West Coast Eagles,"G-DEF,K-DEF"
Tobyn Murray,West Coast Eagles,G-FWD
Josh Sinn,Essendon Bombers,G-DEF
Max Gruzewski,Essendon Bombers,"G-FWD,K-FWD"
Tom Cochrane,Essendon Bombers,G-FWD
Billy Dowling,Essendon Bombers,"MID,G-FWD"
Marcus Herbert,Essendon Bombers,MID
Conor Stone,Brisbane Lions,G-DEF
Bobby Hill,West Coast Eagles,G-FWD
Dylan Stephens,Essendon Bombers,MID
Josh Ward,Essendon Bombers,MID
Jack Scrimshaw,Essendon Bombers,G-DEF
Josh Draper,Essendon Bombers,"G-DEF,K-DEF"
Neil Erasmus,Essendon Bombers,MID
Jack Lukosius,Essendon Bombers,"G-FWD,K-FWD"
